iter	Passed	Remaining
304	85025	193746
305	85259	193366
306	85597	193221
307	85857	192899
308	86043	192413
309	86271	192023
310	86494	191621
311	86714	191215
312	87043	191051
313	87309	190746
314	87567	190425
315	87847	190151
316	88080	189775
317	88329	189436
318	88566	189071
319	88798	188697
320	89087	188442
321	89308	188047
322	89593	187786
323	89833	187431
324	90056	187041
325	90243	186576
326	90515	186289
327	90747	185921
328	90970	185534
329	91193	185149
330	91439	184812
331	91664	184432
332	91929	184134
333	92200	183848
334	92445	183511
335	92652	183098
336	92888	182744
337	93111	182365
338	93350	182018
339	93624	181741
340	93812	181297
341	94060	180970
342	94327	180679
343	94512	180233
344	94710	179813
345	94944	179462
346	95209	179169
347	95464	178858
348	95724	178558
349	96005	178296
350	96190	177856
351	96434	177527
352	96653	177151
353	96881	176794
354	97196	176596
355	97527	176426
356	97761	176080
357	98006	175755
358	98223	175380
359	98449	175020
360	98720	174743
361	98955	174402
362	99164	174015
363	99451	173766
364	99673	173405
365	99964	173162
366	100150	172738
367	100461	172532
368	100779	172335
369	101089	172124
370	101322	171783
371	101658	171617
372	101895	171283
373	102124	170935
374	102369	170616
375	102563	170212
376	102788	169860
377	103004	169493
378	103232	169148
379	103528	168914
380	103748	168557
381	103968	168200
382	104269	167975
383	104682	167928
384	105011	167744
385	105241	167404
386	105487	167090
387	105718	166751
388	106089	166634
389	106377	166384
390	106637	166092
391	106874	165763
392	107122	165453
393	107390	165174
394	107729	165003
395	107989	164710
396	108190	164329
397	108483	164088
398	108790	163867
399	109110	163665
400	109386	163398
401	109623	163071
402	109893	162794
403	110201	162574
404	110414	162214
405	110664	161908
406	110895	161575
407	111134	161254
408	111394	160962
409	111662	160684
410	111909	160376
411	112118	160014
412	112377	159723
413	112589	159365
414	112887	159130
415	113122	158807
416	113418	158568
417	113655	158247
418	113897	157934
419	114129	157607
420	114349	157264
421	114578	156934
422	114815	156615
423	115049	156293
424	115263	155944
425	115486	155608
426	115771	155356
427	115987	155011
428	116227	154699
429	116476	154398
430	116744	154124
431	116970	153794
432	117210	153484
433	117520	153264
434	117755	152946
435	117989	152628
436	118212	152297
437	118547	152109
438	118755	151758
439	118987	151439
440	119363	151301
441	119579	150962
442	119820	150654
443	120050	150334
444	120320	150062
445	120556	149749
446	120874	149538
447	121091	149202
448	121307	148864
449	121577	148594
450	121824	148296
451	122164	148110
452	122478	147894
453	122722	147591
454	123115	147468
455	123385	147196
456	123589	146846
457	123798	146503
458	124009	146163
459	124263	145874
460	124509	145576
461	124777	145304
462	124973	144948
463	125185	144610
464	125472	144360
465	125723	144069
466	125951	143751
467	126219	143480
468	126453	143169
469	126659	142829
470	126903	142531
471	127224	142318
472	127501	142057
473	127876	141904
474	128151	141641
475	128431	141382
476	128754	141170
477	129021	140897
478	129241	140574
479	129492	140283
480	129712	139960
481	129956	139663
482	130230	139397
483	130436	139060
484	130650	138732
485	130892	138433
486	131163	138166
487	131418	137881
488	131702	137627
489	131937	137323
490	132145	136990
491	132367	136672
492	132588	136353
493	132804	136030
494	133009	135697
495	133280	135429
496	133505	135117
497	133766	134841
498	134031	134568
499	134243	134243
500	134478	133941
501	134706	133632
502	134980	133370
503	135289	133142
504	135552	132868
505	135854	132632
506	136124	132365
507	136353	132059
508	136628	131796
509	136840	131473
510	137120	131217
511	137364	130925
512	137586	130613
513	137809	130302
514	138126	130080
515	138384	129802
516	138698	129577
517	138975	129317
518	139310	129110
519	139683	128938
520	139938	128657
521	140196	128378
522	140496	128139
523	140738	127846
524	140999	127570
525	141300	127332
526	141575	127069
527	141800	126761
528	142020	126449
529	142224	126123
530	142541	125898
531	142766	125591
532	143013	125304
533	143232	124992
534	143462	124691
535	143672	124372
536	143909	124078
537	144123	123763
538	144348	123459
539	144599	123177
540	144872	122913
541	145073	122589
542	145302	122289
543	145533	121991
544	145749	121681
545	145955	121361
546	146168	121049
547	146433	120781
548	146675	120493
549	146883	120177
550	147120	119885
551	147347	119586
552	147624	119327
553	147951	119109
554	148184	118814
555	148398	118505
556	148703	118268
557	149014	118036
558	149226	117725
559	149499	117463
560	149724	117164
561	149973	116883
562	150197	116583
563	150471	116321
564	150774	116083
565	151011	115793
566	151273	115522
567	151500	115225
568	151746	114942
569	152041	114697
570	152339	114454
571	152606	114187
572	152905	113945
573	153186	113688
574	153530	113479
575	153738	113168
576	154022	112914
577	154311	112663
578	154520	112354
579	154763	112070
580	154999	111781
581	155243	111498
582	155568	111272
583	155905	111055
584	156328	110899
585	156625	110653
586	156915	110401
587	157175	110129
588	157446	109865
589	157699	109588
590	157935	109299
591	158163	109004
592	158408	108722
593	158626	108421
594	158874	108141
595	159087	107837
596	159335	107557
597	159590	107283
598	159805	106981
599	160052	106701
600	160343	106451
601	160618	106189
602	160838	105892
603	161080	105609
604	161312	105319
605	161562	105042
606	161925	104838
607	162152	104545
608	162408	104272
609	162735	104043
610	162997	103773
611	163281	103518
612	163524	103236
613	163786	102966
614	164072	102712
615	164312	102428
616	164550	102143
617	164783	101856
618	165073	101604
619	165340	101337
620	165586	101058
621	165797	100758
622	166002	100454
623	166311	100213
624	166520	99912
625	166746	99621
626	167054	99379
627	167290	99095
628	167538	98818
629	167777	98535
630	168029	98261
631	168254	97970
632	168486	97684
633	168779	97434
634	169004	97144
635	169217	96847
636	169434	96554
637	169674	96273
638	169966	96021
639	170181	95726
640	170487	95483
641	170801	95244
642	171026	94955
643	171296	94691
644	171553	94420
645	171872	94184
646	172214	93959
647	172531	93720
648	172738	93422
649	172951	93127
650	173177	92840
651	173456	92581
652	173734	92321
653	173950	92028
654	174203	91756
655	174443	91476
656	174673	91192
657	174886	90898
658	175085	90598
659	175322	90317
660	175586	90051
661	175822	89770
662	176109	89515
663	176332	89228
664	176649	88989
665	176909	88720
666	177149	88441
667	177411	88174
668	177671	87906
669	177876	87610
670	178155	87352
671	178442	87097
672	178770	86861
673	179046	86601
674	179269	86314
675	179494	86029
676	179712	85741
677	179977	85476
678	180221	85200
679	180496	84939
680	180723	84656
681	180971	84382
682	181221	84110
683	181612	83902
684	181837	83618
685	182089	83346
686	182337	83073
687	182563	82790
688	182784	82504
689	182996	82215
690	183261	81950
691	183509	81677
692	183769	81409
693	183980	81120
694	184210	80840
695	184434	80557
696	184645	80269
697	184902	80000
698	185184	79743
699	185456	79481
700	185671	79194
701	185884	78908
702	186120	78631
703	186361	78356
704	186592	78077
705	186808	77792
706	187144	77557
707	187356	77271
708	187573	76987
709	187816	76713
710	188085	76450
711	188301	76166
712	188517	75882
713	188779	75617
714	189108	75378
715	189326	75096
716	189607	74837
717	189841	74561
718	190071	74283
719	190409	74048
720	190712	73798
721	190967	73530
722	191226	73263
723	191469	72991
724	191780	72744
725	192016	72468
726	192249	72192
727	192515	71928
728	192733	71647
729	193006	71385
730	193238	71109
731	193457	70828
732	193712	70561
733	193923	70277
734	194186	70012
735	194407	69733
736	194692	69476
737	194891	69189
738	195114	68910
739	195340	68633
740	195587	68363
741	195795	68080
742	196046	67811
743	196309	67547
744	196562	67279
745	196817	67012
746	197087	66751
747	197303	66471
748	197523	66192
749	197746	65915
750	198018	65654
751	198280	65390
752	198510	65115
753	198722	64835
754	198997	64575
755	199215	64297
756	199445	64022
757	199709	63759
758	199958	63491
759	200177	63213
760	200426	62946
761	200667	62675
762	200930	62412
763	201192	62148
764	201462	61887
765	201764	61635
766	201982	61358
767	202232	61091
768	202484	60824
769	202757	60564
770	202987	60290
771	203281	60036
772	203541	59772
773	203821	59513
774	204089	59251
775	204389	58999
776	204623	58727
777	204844	58451
778	205061	58175
779	205363	57922
780	205581	57646
781	205829	57379
782	206111	57121
783	206329	56845
784	206632	56593
785	206869	56323
786	207100	56051
787	207346	55783
788	207572	55510
789	207813	55241
790	208022	54964
791	208291	54702
792	208495	54424
793	208789	54169
794	209055	53907
795	209256	53628
796	209506	53362
797	209722	53087
798	209954	52817
799	210154	52538
800	210409	52274
801	210671	52011
802	210919	51744
803	211181	51481
804	211412	51211
805	211648	50942
806	211860	50668
807	212079	50395
808	212322	50127
809	212609	49871
810	212835	49600
811	213099	49338
812	213320	49066
813	213505	48786
814	213752	48520
815	213986	48251
816	214244	47988
817	214476	47719
818	214702	47449
819	214969	47188
820	215250	46930
821	215510	46667
822	215728	46395
823	216038	46144
824	216289	45879
825	216630	45634
826	216839	45360
827	217149	45108
828	217370	44837
829	217592	44567
830	217825	44299
831	218073	44034
832	218268	43758
833	218533	43497
834	218765	43229
835	219038	42969
836	219276	42702
837	219519	42436
838	219739	42166
839	219965	41898
840	220189	41629
841	220466	41370
842	220714	41105
843	220933	40836
844	221230	40580
845	221441	40309
846	221651	40038
847	221908	39776
848	222144	39509
849	222383	39244
850	222652	38983
851	222877	38715
852	223171	38459
853	223393	38191
854	223648	37928
855	223877	37661
856	224092	37392
857	224349	37130
858	224611	36868
859	224864	36605
860	225125	36344
861	225354	36077
862	225575	35809
863	225837	35548
864	226120	35290
865	226395	35031
866	226596	34760
867	226829	34494
868	227046	34226
869	227268	33959
870	227523	33697
871	227711	33425
872	227917	33156
873	228206	32899
874	228448	32635
875	228676	32369
876	228924	32106
877	229121	31836
878	229363	31573
879	229651	31316
880	229953	31060
881	230234	30802
882	230435	30533
883	230702	30273
884	230910	30005
885	231121	29737
886	231341	29471
887	231579	29208
888	231878	28952
889	232123	28689
890	232343	28423
891	232641	28167
892	232937	27910
893	233230	27653
894	233483	27391
895	233701	27126
896	233977	26866
897	234240	26606
898	234487	26344
899	234782	26086
900	235027	25824
901	235260	25560
902	235491	25296
903	235697	25029
904	235916	24764
905	236149	24501
906	236482	24247
907	236791	23992
908	237005	23726
909	237243	23463
910	237541	23206
911	237898	22955
912	238153	22693
913	238372	22428
914	238656	22170
915	238907	21908
916	239137	21644
917	239480	21391
918	239725	21129
919	239975	20867
920	240205	20603
921	240424	20339
922	240673	20077
923	241004	19822
924	241215	19558
925	241518	19300
926	241774	19039
927	241996	18775
928	242218	18511
929	242474	18250
930	242700	17987
931	242906	17722
932	243156	17461
933	243407	17200
934	243695	16941
935	243920	16678
936	244172	16417
937	244462	16158
938	244738	15898
939	244956	15635
940	245267	15378
941	245539	15118
942	245790	14856
943	246030	14595
944	246246	14331
945	246519	14071
946	246732	13808
947	246996	13548
948	247233	13286
949	247481	13025
950	247750	12765
951	247978	12503
952	248165	12238
953	248428	11978
954	248654	11716
955	248906	11455
956	249177	11196
957	249403	10934
958	249612	10671
959	249824	10409
960	250034	10147
961	250247	9885
962	250482	9623
963	250731	9363
964	250946	9101
965	251333	8846
966	251602	8586
967	251847	8325
968	252123	8065
969	252385	7805
970	252664	7546
971	252874	7284
972	253088	7023
973	253353	6763
974	253602	6502
975	253854	6242
976	254068	5981
977	254312	5720
978	254537	5459
979	254832	5200
980	255028	4939
981	255236	4678
982	255567	4419
983	255860	4160
984	256085	3899
985	256308	3639
986	256533	3378
987	256766	3118
988	256997	2858
989	257258	2598
990	257525	2338
991	257778	2078
992	258047	1819
993	258281	1559
994	258584	1299
995	258880	1039
996	259160	779
997	259408	519
998	259651	259
999	259974	0
