iter	Logloss
253	0.2797857205
254	0.2797433426
255	0.2796977087
256	0.2796403297
257	0.279604974
258	0.2795738297
259	0.279506595
260	0.279438957
261	0.2793933888
262	0.2793520644
263	0.2793150495
264	0.279258773
265	0.2791989652
266	0.2791479631
267	0.279103271
268	0.2790399945
269	0.2789718195
270	0.2788953335
271	0.278788712
272	0.2787854724
273	0.2787570711
274	0.2786826415
275	0.2786592433
276	0.2786303494
277	0.278580236
278	0.2785230039
279	0.2784754827
280	0.2784159711
281	0.2783717867
282	0.2783332307
283	0.2782856057
284	0.278249832
285	0.2782272143
286	0.2781805355
287	0.2781444792
288	0.2780261826
289	0.278007437
290	0.2779451513
291	0.2779164088
292	0.2778726154
293	0.2778238344
294	0.2777695989
295	0.2777159978
296	0.2777135396
297	0.2776796937
298	0.2776363475
299	0.2776098989
300	0.2775592806
301	0.2775089822
302	0.2774771357
303	0.2774363119
304	0.2774106095
305	0.27736358
306	0.2772877644
307	0.2772390944
308	0.2772370259
309	0.2772037573
310	0.277158414
311	0.2771271325
312	0.2770446456
313	0.2769872104
314	0.2769448667
315	0.2769057375
316	0.2768764918
317	0.2768260787
318	0.2767871229
319	0.2767534879
320	0.2767110461
321	0.2766775689
322	0.276630292
323	0.2766039697
324	0.2765681784
325	0.2765658337
326	0.2765263782
327	0.276496488
328	0.2764572469
329	0.276428729
330	0.2764031893
331	0.2763644825
332	0.2763195398
333	0.2762840793
334	0.2762340418
335	0.2762112909
336	0.2761754562
337	0.2761265455
338	0.2760786979
339	0.2760388246
340	0.2760367326
341	0.2760033701
342	0.2759547426
343	0.2759528201
344	0.2759510214
345	0.2759149781
346	0.275869361
347	0.2758274008
348	0.2757856652
349	0.2757423499
350	0.2757399296
351	0.2757033282
352	0.275670777
353	0.27562734
354	0.2755818326
355	0.2755396356
356	0.2754998447
357	0.275456979
358	0.2754256584
359	0.2753964043
360	0.2753412577
361	0.2753090014
362	0.2752915951
363	0.2752435869
364	0.2752108062
365	0.2751593522
366	0.2751574211
367	0.2751130426
368	0.2750662107
369	0.2750296807
370	0.2749975827
371	0.2749223739
372	0.2748993549
373	0.2748470512
374	0.2748019967
375	0.2748000783
376	0.2747568815
377	0.274730596
378	0.274699324
379	0.2746679627
380	0.2746235783
381	0.274597481
382	0.2745446917
383	0.2744883193
384	0.2744411922
385	0.2744010823
386	0.2743531561
387	0.2743140537
388	0.2742438975
389	0.2741925127
390	0.2741583297
391	0.2741255814
392	0.2740909007
393	0.2740563735
394	0.2739710974
395	0.2739456302
396	0.2739282561
397	0.273866648
398	0.2738352577
399	0.2737741557
400	0.2737374609
401	0.2737342612
402	0.2737022335
403	0.2736624031
404	0.2736395294
405	0.2736173826
406	0.2735714143
407	0.273547056
408	0.2735153635
409	0.2734677475
410	0.2734262618
411	0.2734017525
412	0.2733682532
413	0.2733443794
414	0.2732949471
415	0.2732603862
416	0.2732042057
417	0.2731612358
418	0.2731303456
419	0.2730785014
420	0.2730409243
421	0.273011291
422	0.2729677538
423	0.2729136589
424	0.2728868754
425	0.2728376287
426	0.2727851367
427	0.2727583667
428	0.2727212144
429	0.2726796699
430	0.2726532888
431	0.2726275759
432	0.2725901904
433	0.2725419791
434	0.2725102202
435	0.2724684176
436	0.2724271162
437	0.2723768427
438	0.2723590993
439	0.2723263471
440	0.2722545498
441	0.2722275613
442	0.2721876859
443	0.2721576085
444	0.2721185182
445	0.2720886114
446	0.272053778
447	0.2720249832
448	0.2720021569
449	0.2719709891
450	0.2719260526
451	0.2718816765
452	0.2718303398
453	0.2717919125
454	0.2717402011
455	0.2717042287
456	0.2716794997
457	0.2716526013
458	0.271627777
459	0.2715893329
460	0.2715582368
461	0.2715239338
462	0.2715190576
463	0.2714972915
464	0.2714468228
465	0.2714024624
466	0.271367777
467	0.2713344049
468	0.2713054565
469	0.2712816403
470	0.271245241
471	0.2712006103
472	0.2711774735
473	0.2711278774
474	0.2710999187
475	0.2710597873
476	0.2710205128
477	0.2709844154
478	0.2709568042
479	0.2709367977
480	0.270903324
481	0.2708610634
482	0.2708185022
483	0.2708031319
484	0.2707826575
485	0.270764452
486	0.2706644874
487	0.270632587
488	0.2705893829
489	0.2705679677
490	0.2705611188
491	0.2705393522
492	0.270506987
493	0.2704857558
494	0.2704515617
495	0.270427386
496	0.27039656
497	0.2703255058
498	0.270288153
499	0.27026387
500	0.2702509893
501	0.2702253758
502	0.2701952121
503	0.2701723351
504	0.2701382573
505	0.2700919748
506	0.2700587818
507	0.2700241742
508	0.2699829387
509	0.2699619775
510	0.2699208966
511	0.2698808172
512	0.2698476789
513	0.2698219747
514	0.2697888259
515	0.2697624848
516	0.2697223713
517	0.2696838026
518	0.2696413917
519	0.2695968643
520	0.2695486665
521	0.269508968
522	0.269471013
523	0.2694397523
524	0.2693925037
525	0.2693539379
526	0.2693210469
527	0.2692820502
528	0.2692541382
529	0.2692370894
530	0.2692158637
531	0.2691894597
532	0.2691666336
533	0.2691504501
534	0.2691229657
535	0.269105907
536	0.2690865577
537	0.2690638242
538	0.2690388058
539	0.2690204056
540	0.2689823097
541	0.2689733336
542	0.2689484853
543	0.2689040673
544	0.2688733984
545	0.2688514588
546	0.268848381
547	0.268819553
548	0.2687937243
549	0.2687782659
550	0.2687488094
551	0.2687458623
552	0.2687017647
553	0.2686603285
554	0.2686350785
555	0.2686175722
556	0.2685700235
557	0.2685180367
558	0.2684908425
559	0.2684447651
560	0.2684174824
561	0.2683852625
562	0.2683624749
563	0.2683323877
564	0.2682970548
565	0.2682613259
566	0.2682253867
567	0.268198004
568	0.2681645595
569	0.2681339183
570	0.2680954965
571	0.2680617578
572	0.2680181231
573	0.2679812525
574	0.2679437165
575	0.2679229615
576	0.2678893137
577	0.267847239
578	0.2678210886
579	0.2677845526
580	0.2677418079
581	0.2677020682
582	0.2676641171
583	0.2676375275
584	0.2675932219
585	0.2675573277
586	0.2675402036
587	0.2675115458
588	0.2674769776
589	0.2674409002
590	0.267422846
591	0.2673925401
592	0.2673585667
593	0.2673327649
594	0.2673152097
595	0.2672936924
596	0.2672820264
597	0.2672630057
598	0.2672417032
599	0.2672189179
600	0.2671764474
601	0.2671517445
602	0.2671292779
603	0.2670959367
604	0.267084459
605	0.2670599754
606	0.2670208422
607	0.2669942633
608	0.2669578792
609	0.2669236747
610	0.266883995
611	0.2668472672
612	0.2668206023
613	0.2667879822
614	0.2667501991
615	0.2667244235
616	0.2666993313
617	0.2666761025
618	0.266641959
619	0.266611539
620	0.2665900164
621	0.2665707615
622	0.2665482278
623	0.2665063137
624	0.2664914943
625	0.266448259
626	0.2664196626
627	0.2663935025
628	0.2663693981
629	0.2663465586
630	0.266329722
631	0.2663094646
632	0.2662905764
633	0.2662601245
634	0.2662368805
635	0.2662145361
636	0.2661893607
637	0.2661729446
638	0.2661338175
639	0.2661197099
640	0.2660799393
641	0.2660378122
642	0.2660106482
643	0.265980674
644	0.2659577997
645	0.2659202543
646	0.265890876
647	0.2658477531
648	0.2658427541
649	0.2658310114
650	0.2658066422
651	0.2657617863
652	0.2657268938
653	0.2657104356
654	0.2656857161
655	0.2656723627
656	0.2656553935
657	0.2656369016
658	0.2656326297
659	0.2656143417
660	0.2655957587
661	0.2655645801
662	0.2655359731
663	0.2655158872
664	0.2654781632
665	0.2654457856
666	0.265414615
667	0.2653732247
668	0.2653520735
669	0.2653400075
670	0.2653268187
671	0.2652928772
672	0.2652585456
673	0.265222283
674	0.2652026829
675	0.2651767049
676	0.2651528476
677	0.2651227655
678	0.2650943926
679	0.2650616841
680	0.2650304022
681	0.265016665
682	0.265005033
683	0.2649595358
684	0.2649319748
685	0.2648999996
686	0.2648773743
687	0.2648461483
688	0.2648267517
689	0.2648100163
690	0.2647780895
691	0.2647427646
692	0.264713415
693	0.2646974728
694	0.2646699777
695	0.2646427607
696	0.2646242959
697	0.2645960606
698	0.2645580929
699	0.2645262844
700	0.264506987
701	0.2644905817
702	0.2644663761
703	0.2644337891
704	0.2644175427
705	0.2643959767
706	0.2643525301
707	0.2643395636
708	0.2643226956
709	0.26429182
710	0.2642577128
711	0.2642548032
712	0.264233675
713	0.264214629
714	0.2641843624
715	0.2641654842
716	0.2641377434
717	0.2641126093
718	0.2640867256
719	0.2640476678
720	0.2640236486
721	0.264000928
722	0.2639674952
723	0.2639416803
724	0.2639121499
725	0.2638866508
726	0.263851986
727	0.2638232127
728	0.2638010332
729	0.2637628082
730	0.2637385693
731	0.2637201856
732	0.2636925923
733	0.2636787331
734	0.2636441552
735	0.263611699
736	0.263580373
737	0.2635713481
738	0.263548539
739	0.2635216091
740	0.2634936483
741	0.2634717812
742	0.2634504617
743	0.2634309336
744	0.2634193224
745	0.2634136014
746	0.263387155
747	0.2633680852
748	0.2633502564
749	0.2633273534
750	0.2632898547
751	0.263269195
752	0.2632462463
753	0.2632208395
754	0.2631987734
755	0.2631692771
756	0.2631473306
757	0.2631161699
758	0.2630846152
759	0.2630664836
760	0.263043881
761	0.2630262354
762	0.2629899437
763	0.262967913
764	0.2629333237
765	0.26289511
766	0.2628751446
767	0.2628483724
768	0.2628220399
769	0.2627834136
770	0.2627641987
771	0.2627300031
772	0.2627020309
773	0.2626589036
774	0.2626388309
775	0.262614217
776	0.262593697
777	0.2625700964
778	0.2625436726
779	0.2625221179
780	0.2624941113
781	0.2624615358
782	0.2624420515
783	0.2624221978
784	0.2623773126
785	0.2623549534
786	0.2623321488
787	0.2623055867
788	0.2622840323
789	0.2622503321
790	0.2622338025
791	0.2621687951
792	0.2621663693
793	0.2621362389
794	0.2621160243
795	0.2621022241
796	0.2620656587
797	0.2620416822
798	0.2620194228
799	0.2620103126
800	0.2619819826
801	0.2619591523
802	0.2619294029
803	0.2618986483
804	0.261880107
805	0.2618546255
806	0.2618317165
807	0.2618164713
808	0.2617843527
809	0.2617504695
810	0.2617247372
811	0.2617046351
812	0.2616783029
813	0.2616772045
814	0.261654061
815	0.2616238915
816	0.2615892159
817	0.2615582538
818	0.2615283362
819	0.2614979389
820	0.2614705413
821	0.2614355101
822	0.2614193231
823	0.2613919483
824	0.2613666864
825	0.2613370991
826	0.2613188111
827	0.261284069
828	0.2612621075
829	0.2612331682
830	0.26120783
831	0.2611862783
832	0.2611822166
833	0.2611511764
834	0.2611291433
835	0.2611033324
836	0.2610705303
837	0.2610394423
838	0.2610138924
839	0.2609879307
840	0.2609725874
841	0.2609402109
842	0.2609200326
843	0.2609017845
844	0.2608688347
845	0.2608579884
846	0.2608400073
847	0.2608096759
848	0.2607857239
849	0.2607549935
850	0.2607308435
851	0.2607096035
852	0.2606697202
853	0.2606402722
854	0.2606195867
855	0.2605973863
856	0.2605746763
857	0.260553518
858	0.2605326215
859	0.2605024746
860	0.2604783793
861	0.260457909
862	0.2604331949
863	0.2604148193
864	0.2603861775
865	0.2603577691
866	0.2603520182
867	0.2603201482
868	0.2603147066
869	0.2602967017
870	0.2602711015
871	0.2602703732
872	0.2602581179
873	0.26021461
874	0.2601886532
875	0.2601695469
876	0.2601460574
877	0.260145179
878	0.2601164699
879	0.2600872833
880	0.2600495484
881	0.2600195158
882	0.2600113491
883	0.2599818869
884	0.2599711757
885	0.2599581158
886	0.2599363039
887	0.2599163675
888	0.2598831578
889	0.2598641625
890	0.2598458673
891	0.2598005142
892	0.2597787911
893	0.2597384832
894	0.2597199118
895	0.2596939028
896	0.2596471001
897	0.2596038399
898	0.2595840439
899	0.2595666978
900	0.2595347361
901	0.2595094157
902	0.2594781024
903	0.2594661997
904	0.2594449493
905	0.2594195962
906	0.2593947559
907	0.2593424425
908	0.2593400982
909	0.2593260293
910	0.2592945781
911	0.2592687439
912	0.2592476653
913	0.2592229071
914	0.2591933931
915	0.2591659609
916	0.2591436854
917	0.2590989653
918	0.2590764206
919	0.2590536608
920	0.2590305464
921	0.2590150132
922	0.2589946805
923	0.2589661064
924	0.2589522827
925	0.2589109472
926	0.258889111
927	0.2588690473
928	0.258851285
929	0.2588224185
930	0.2588029294
931	0.2587852288
932	0.2587567965
933	0.2587294703
934	0.2586961724
935	0.2586843005
936	0.258656662
937	0.2586254557
938	0.2585976296
939	0.2585833094
940	0.2585477044
941	0.2585232817
942	0.2584881151
943	0.2584845968
944	0.2584631437
945	0.2584395907
946	0.2584254915
947	0.2583994886
948	0.2583772048
949	0.2583526611
950	0.2583293058
951	0.2582992177
952	0.2582985459
953	0.2582702395
954	0.2582260831
955	0.258206647
956	0.2581787301
957	0.258150186
958	0.2581310969
959	0.2581165524
960	0.2581060327
961	0.2580895744
962	0.2580729349
963	0.2580471091
964	0.2580348576
965	0.257986379
966	0.2579626327
967	0.2579315814
968	0.2578926669
969	0.2578739759
970	0.2578318318
971	0.2578116786
972	0.2577860879
973	0.2577522015
974	0.2577255984
975	0.257697388
976	0.2576810826
977	0.2576603949
978	0.2576407938
979	0.2575989123
980	0.2575976724
981	0.2575872967
982	0.2575572616
983	0.2575394033
984	0.2575157944
985	0.2574942861
986	0.2574770078
987	0.2574497428
988	0.2574285332
989	0.2574086285
990	0.2573933049
991	0.2573658019
992	0.2573379601
993	0.2573274914
994	0.2572908523
995	0.2572521315
996	0.2572259145
997	0.2572011391
998	0.2571797843
999	0.2571566163
